,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
932,The Power of Habit: Why We Do What We Do in Life and Business,Non Fiction,Charles Duhigg,Hardcover,4.6,26,16.69,"37,094",2012
934,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",Non Fiction,William Davis,Hardcover,4.4,28,13.75,"10,836",2012
936,The Fault in Our Stars,Fiction,John Green,Hardcover,4.6,14,10.8,"159,988",2013
937,The Fault in Our Stars,Fiction,John Green,Paperback,4.6,4,11.69,"159,988",2014
938,The Fault in Our Stars,Fiction,John Green,Hardcover,4.6,14,10.8,"159,988",2014
948,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Non Fiction,Deb Perelman,Hardcover,4.7,51,18.29,"1,967",2012
949,The Walking Dead: Compendium One,Fiction,Robert Kirkman,Paperback,4.8,53,38.99,"8,679",2012
950,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,Non Fiction,Nate Silver,Hardcover,4.4,54,17.74,"3,702",2012
951,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),Fiction,The Oatmeal,Paperback,4.5,55,7.77,"12,824",2012
952,America Again: Re-becoming the Greatness We Never Weren't,Non Fiction,Stephen Colbert,Hardcover,4.3,57,9.98,651,2012
953,LEGO NINJAGO: Character Encyclopedia,Fiction,DK Publishing,Hardcover,4.5,58,10.0,1036,2012
954,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Non Fiction,Chris Kyle,Hardcover,4.5,59,19.04,"42,388",2012
956,Bared to You,Fiction,Sylvia Day,Paperback,4.4,62,13.89,"32,498",2012
