,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
437,Blink: The Power of Thinking Without Thinking,Non Fiction,Malcolm Gladwell,Paperback,4.5,66,12.73,"12,905",2009
438,"Diary of a Wimpy Kid, Book 1",Fiction,Jeff Kinney,Hardcover,4.6,67,10.28,"27,184",2009
439,The Graveyard Book,Fiction,Neil Gaiman,Hardcover,4.7,68,9.82,"14,185",2009
440,An Echo in the Bone (Outlander),Fiction,Diana Gabaldon,Hardcover,4.7,69,26.1,"34,284",2009
441,"The Gathering Storm (Wheel of Time, Book 12)",Fiction,Robert Jordan,Hardcover,4.8,70,20.99,"12,886",2009
442,Dreams from My Father: A Story of Race and Inheritance,Non Fiction,Barack Obama,Paperback,4.7,71,10.7,"10,531",2009
443,Pirate Latitudes: A Novel,Fiction,Michael Crichton,Hardcover,4.2,72,21.75,"6,622",2009
444,The Official SAT Study Guide: For the New SAT (tm),Non Fiction,The College Board,Paperback,4.4,73,49.99,271,2009
445,Getting Things Done: The Art of Stress-Free Productivity,Non Fiction,David Allen,Paperback,4.5,74,12.0,"5,248",2009
447,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,76,17.99,1559,2009
448,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,22,20.25,1559,2010
449,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,20,22.09,"14,427",2011
450,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,14,18.98,0,2012
451,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,13,142.09,2,2013
452,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,19,38.97,11,2014
453,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.4,55,9.92,"1,118",2015
454,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.5,54,8.22,"2,426",2017
455,The Official SAT Study Guide,Non Fiction,The College Board,Paperback,4.5,66,13.89,"2,426",2018
528,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Fiction,Janet Evanovich,Hardcover,4.5,77,5.95,"7,278",2009
529,Sarah's Key,Fiction,Tatiana de Rosnay,Paperback,4.5,78,10.25,"11,115",2009
531,From Dead to Worse (Sookie Stackhouse/True Blood),Fiction,Charlaine Harris,Mass Market Paperback,4.6,79,7.99,"3,328",2009
532,Wolf Hall,Fiction,Hilary Mantel,Hardcover,4.2,80,23.44,"19,988",2009
533,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.7,28,10.9,"64,810",2010
534,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.7,11,10.9,"64,810",2011
535,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.7,7,10.9,"64,810",2012
545,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Fiction,Stieg Larsson,Hardcover,4.6,1,11.56,"25,113",2010
546,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Fiction,Stieg Larsson,Hardcover,4.6,30,11.56,"25,113",2011
549,Decision Points,Non Fiction,George W. Bush,Hardcover,4.6,3,13.0,"2,766",2010
550,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Fiction,Jeff Kinney,Hardcover,4.7,6,7.64,"19,356",2010
551,Mockingjay (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.6,8,11.44,"79,798",2010
552,Mockingjay (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.6,9,11.44,"79,798",2011
553,Mockingjay (The Hunger Games),Fiction,Suzanne Collins,Hardcover,4.6,8,11.44,"79,798",2012
560,Women Food and God: An Unexpected Path to Almost Everything,Non Fiction,Geneen Roth,Hardcover,4.4,9,12.98,"2,650",2010
561,"Autobiography of Mark Twain, Vol. 1",Non Fiction,Mark Twain,Hardcover,4.4,11,7.45,636,2010
562,The Big Short: Inside the Doomsday Machine,Non Fiction,Michael Lewis,Hardcover,4.6,12,15.66,"15,978",2010
564,Food Rules: An Eater's Manual,Non Fiction,Michael Pollan,Paperback,4.4,13,11.6,"4,534",2010
565,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Hardcover,4.7,14,15.68,"75,415",2010
566,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Hardcover,4.7,6,15.68,"75,415",2011
567,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Hardcover,4.7,19,15.68,"75,415",2012
568,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Hardcover,4.7,51,15.68,"75,415",2013
569,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Paperback,4.7,10,11.86,"75,415",2014
570,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Non Fiction,Laura Hillenbrand,Paperback,4.7,62,11.86,"75,415",2015
607,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Fiction,Charlaine Harris,Hardcover,4.5,15,8.8,"5,199",2010
608,Sh*t My Dad Says,Non Fiction,Justin Halpern,Hardcover,4.5,16,12.76,"11,626",2010
609,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Fiction,Stephenie Meyer,Hardcover,4.7,18,14.99,"6,989",2010
610,Life,Non Fiction,Keith Richards,Hardcover,4.5,19,15.4,"7,269",2010
611,Cutting for Stone,Fiction,Abraham Verghese,Paperback,4.6,20,14.1,"14,569",2010
612,Cutting for Stone,Fiction,Abraham Verghese,Paperback,4.6,23,14.1,"14,569",2011
615,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Non Fiction,Jon Stewart,Hardcover,4.5,21,11.64,594,2010
616,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Non Fiction,John Heilemann,Hardcover,4.5,23,9.0,"1,932",2010
617,The Immortal Life of Henrietta Lacks,Non Fiction,Rebecca Skloot,Hardcover,4.6,24,15.7,"27,806",2010
618,The Immortal Life of Henrietta Lacks,Non Fiction,Rebecca Skloot,Paperback,4.6,18,13.09,"27,806",2011
625,"The Lost Hero (Heroes of Olympus, Book 1)",Fiction,Rick Riordan,Hardcover,4.7,25,13.23,"24,805",2010
627,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Non Fiction,Doug Lemov,Paperback,4.5,26,15.42,884,2010
628,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Non Fiction,Doug Lemov,Paperback,4.5,61,15.42,884,2012
633,Switch: How to Change Things When Change Is Hard,Non Fiction,Chip Heath,Hardcover,4.6,55,16.25,"5,543",2011
635,The 5 Love Languages: The Secret to Love That Lasts,Non Fiction,Gary Chapman,Paperback,4.7,27,23.01,"4,967",2011
636,The 5 Love Languages: The Secret to Love That Lasts,Non Fiction,Gary Chapman,Paperback,4.7,21,23.01,"4,967",2012
637,The 5 Love Languages: The Secret to Love That Lasts,Non Fiction,Gary Chapman,Paperback,4.7,17,23.01,"4,967",2013
638,The 5 Love Languages: The Secret to Love That Lasts,Non Fiction,Gary Chapman,Paperback,4.7,26,23.01,"4,967",2014
655,Cleopatra: A Life,Non Fiction,Stacy Schiff,Hardcover,4.2,52,11.47,"2,274",2010
656,Freedom: A Novel,Fiction,Jonathan Franzen,Hardcover,4.2,53,11.14,"5,793",2010
657,Freedom,Fiction,Jonathan Franzen,Hardcover,4.2,54,6.4,"5,793",2010
658,Fall of Giants (The Century Trilogy),Fiction,Ken Follett,Hardcover,4.4,56,21.28,"50,655",2010
659,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Non Fiction,Elizabeth Gilbert,Paperback,4.4,57,14.0,"15,213",2010
660,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Non Fiction,Elizabeth Gilbert,Paperback,4.4,58,5.69,"15,213",2010
661,Tao I: The Way of All Life,Non Fiction,Zhi Gang Sha Dr.,Hardcover,4.4,59,14.89,96,2010
662,Chelsea Chelsea Bang Bang,Non Fiction,Chelsea Handler,Hardcover,4.4,61,8.64,"1,527",2010
663,Let the Great World Spin: A Novel,Fiction,Colum McCann,Paperback,4.3,62,9.99,"3,644",2010
664,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Fiction,Rick Riordan,Paperback,4.8,67,7.99,"28,680",2010
665,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Non Fiction,Timothy Ferriss,Hardcover,4.5,68,13.79,"25,771",2010
666,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Non Fiction,Timothy Ferriss,Hardcover,4.5,68,13.79,"25,771",2011
669,"Full Dark, No Stars",Fiction,Stephen King,Hardcover,4.6,69,21.53,"6,253",2010
670,Sizzling Sixteen (Stephanie Plum Novels),Fiction,Janet Evanovich,Hardcover,4.5,70,10.8,"7,445",2010
671,The Grand Design,Fiction,Stephen Hawking,Hardcover,4.5,71,16.56,"4,115",2010
672,The Overton Window ,Fiction,Glenn Beck,Hardcover,4.6,72,17.0,"1,430",2010
673,Spoken from the Heart,Non Fiction,Laura Bush,Hardcover,4.5,74,10.0,836,2010
674,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Non Fiction,Mark Nepo,Paperback,4.7,76,14.4,"4,469",2010
675,Safe Haven,Fiction,Nicholas Sparks,Hardcover,4.6,78,7.99,"15,264",2010
676,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Non Fiction,Daniel G. Amen,Hardcover,4.4,79,14.57,947,2010
677,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Non Fiction,Alicia Silverstone,Hardcover,4.5,80,12.99,"1,689",2010
678,The Glass Castle: A Memoir (book),Non Fiction,Jeannette Walls,Paperback,4.6,66,9.68,"39,239",2011
679,The Glass Castle: A Memoir (book),Non Fiction,Jeannette Walls,Paperback,4.6,59,9.68,"39,239",2017
684,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Non Fiction,Timothy Ferriss,Hardcover,4.4,25,22.0,"8,283",2011
686,A Guide to the Project Management Body of Knowledge,Non Fiction,Project Management Institute,Paperback,4.4,73,17.56,755,2011
687,A Guide to the Project Management Body of Knowledge,Non Fiction,Project Management Institute,Paperback,4.4,74,17.56,755,2012
692,The Catcher in the Rye,Fiction,J.D. Salinger,Mass Market Paperback,4.4,76,8.93,"37,703",2014
695,Who Moved My Cheese,Fiction,Spencer Johnson,Hardcover,4.6,72,12.99,"24,680",2012
698,Steve Jobs,Non Fiction,Walter Isaacson,Hardcover,4.7,1,18.29,"23,420",2011
699,Steve Jobs,Non Fiction,Walter Isaacson,Hardcover,4.7,27,18.29,"23,420",2012
702,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Non Fiction,Todd Burpo,Paperback,4.6,2,10.49,"24,984",2011
703,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Non Fiction,Todd Burpo,Paperback,4.6,62,10.49,"24,984",2014
708,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Fiction,Jeff Kinney,Hardcover,4.7,3,8.81,"20,969",2011
710,The Hunger Games (Book 1),Fiction,Suzanne Collins,Paperback,4.7,5,7.11,"80,711",2011
711,The Hunger Games (Book 1),Fiction,Suzanne Collins,Paperback,4.7,4,7.19,"80,711",2012
712,The Hunger Games (Book 1),Fiction,Suzanne Collins,Paperback,4.7,78,7.19,"80,711",2013
719,Inheritance: Book IV (Inheritance Cycle),Fiction,Christopher Paolini,Hardcover,4.7,7,15.72,"17,169",2011
720,Go the F**k to Sleep,Fiction,Adam Mansbach,Hardcover,4.8,8,13.45,"22,493",2011
721,Go the F**k to Sleep,Fiction,Adam Mansbach,Hardcover,4.8,67,12.81,"22,493",2012
724,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,Mass Market Paperback,4.7,10,9.61,"8,392",2011
725,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,Mass Market Paperback,4.7,15,9.61,"8,392",2012
726,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,Mass Market Paperback,4.7,23,9.61,"8,392",2013
733,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Non Fiction,Mike Moreno ,Hardcover,4.3,12,18.0,3214,2011
734,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Non Fiction,Mike Moreno,Hardcover,4.3,65,18.0,"3,214",2012
737,A Dance with Dragons (A Song of Ice and Fire),Fiction,George R. R. Martin,Hardcover,4.6,13,19.0,"47,685",2011
738,A Dance with Dragons (A Song of Ice and Fire),Fiction,George R. R. Martin,Hardcover,4.6,56,19.0,"47,685",2012
741,"The Son of Neptune (Heroes of Olympus, Book 2)",Fiction,Rick Riordan,Hardcover,4.8,14,11.39,"25,784",2011
742,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Non Fiction,Bill O'Reilly,Hardcover,4.6,15,14.5,"15,071",2011
743,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Non Fiction,Bill O'Reilly,Hardcover,4.6,18,10.98,"15,071",2012
746,11/22/63: A Novel,Fiction,Stephen King,Hardcover,4.8,19,0.0,"3,334",2011
747,The Hunger Games Trilogy Boxed Set,Fiction,Suzanne Collins,Hardcover,4.8,22,60.49,"47,091",2011
748,The Hunger Games Trilogy Boxed Set,Fiction,Suzanne Collins,Hardcover,4.8,11,60.49,"47,091",2012
751,A Stolen Life: A Memoir,Non Fiction,Jaycee Dugard,Hardcover,4.6,29,21.81,"10,739",2011
752,"Thinking, Fast and Slow",Non Fiction,Daniel Kahneman,Hardcover,4.6,23,19.49,"40,430",2012
753,"Thinking, Fast and Slow",Non Fiction,Daniel Kahneman,Paperback,4.6,56,11.29,"40,430",2017
762,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,52,17.98,"32,863",2012
763,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,55,17.98,"32,863",2013
764,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,70,17.98,"32,863",2014
765,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,78,17.98,"32,863",2015
766,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,58,13.3,"32,863",2017
767,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,61,13.3,"32,863",2018
768,What to Expect When You're Expecting,Non Fiction,Heidi Murkoff,Paperback,4.8,62,13.3,"32,863",2019
818,The Best of Me,Fiction,Nicholas Sparks,Hardcover,4.5,51,14.04,"16,066",2011
819,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Non Fiction,Jacqueline Kennedy,Hardcover,4.3,52,24.5,763,2011
820,The Greater Journey: Americans in Paris,Non Fiction,David McCullough,Hardcover,4.5,54,12.75,"2,495",2011
821,Every Thing On It,Fiction,Shel Silverstein,Hardcover,4.9,56,11.99,"1,909",2011
822,Miss Peregrine's Home for Peculiar Children,Fiction,Ransom Riggs,Hardcover,4.3,57,10.65,"36,831",2011
823,Moonwalking With Einstein: The Art and Science of Remembering Everything,Non Fiction,Joshua Foer,Hardcover,4.5,58,14.63,"9,835",2011
824,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,59,7.1,"15,450",2011
825,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,9,7.1,"15,450",2013
826,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,52,7.1,"15,450",2015
827,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,53,7.1,"15,450",2016
828,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,60,7.1,"15,450",2017
829,The Great Gatsby: The Only Authorized Edition,Fiction,F. Scott Fitzgerald,Paperback,4.4,79,7.1,"15,450",2019
860,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,59,7.1,"15,450",2011
861,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,9,7.1,"15,450",2013
862,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,52,7.1,"15,450",2015
863,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,53,7.1,"15,450",2016
